Unnamed: 0,No,CVE,ENTIDAD,INSTITUCION,PROGRAMA,area_general,subcampo,CVE_AREA_CONOCIMIENTO,DESC_AREA_CONOCIMIENTO,ID_CAMPO,CVE_CAMPO,DESC_CAMPO,similitud
15,16,7298,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN ENSEÑANZA Y APRENDIZAJE DE LENGUAS,Educación,Enseñanza,5,Humanidades,172,41,CIENCIAS DE LAS ARTES Y LAS LETRAS,49.382716049382715
16,17,6183,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN ESTUDIOS HISTÓRICOS,Otros,,5,Humanidades,184,766,ESTUDIOS DE GÉNERO,56.00000000000001
17,18,5892,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN ESTUDIOS SOCIOTERRITORIALES,Otros,,5,Humanidades,184,766,ESTUDIOS DE GÉNERO,51.72413793103448
18,19,5128,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN FILOSOFÍA CONTEMPORÁNEA,Humanidades,Filosof,9,Interdisciplinaria,236,43,A5 - FILOSOFÍA,48.0
19,20,7232,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN GÉNERO Y ESTUDIOS FEMINISTAS,Otros,,5,Humanidades,184,766,ESTUDIOS DE GÉNERO,61.01694915254237
20,21,5374,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN INGENIERÍA DEL LENGUAJE Y DEL CONOCIMIENTO,Ingeniería y Tecnología,Ingenier,1,Físico-Matemáticas y Ciencias de la Tierra,138,12,CIENCIAS DE LA TIERRA Y DEL ESPACIO,48.88888888888889
21,22,5677,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN INGENIERÍA QUÍMICA,Ciencias Naturales,Química,3,Medicina y Ciencias de la Salud,153,33,INGENIERÍA BIOMÉDICA,54.90196078431373
21,22,5677,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN INGENIERÍA QUÍMICA,Ciencias Naturales,Química,3,Medicina y Ciencias de la Salud,153,33,INGENIERÍA BIOMÉDICA,54.90196078431373
21,22,5677,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN INGENIERÍA QUÍMICA,Ciencias Naturales,Química,3,Medicina y Ciencias de la Salud,153,33,INGENIERÍA BIOMÉDICA,54.90196078431373
22,23,6040,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN INVESTIGACIÓN APLICADA A LA INDUSTRIA,Otros,,9,Interdisciplinaria,245,51,A6 - CIENCIAS DE LA EDUCACIÓN,48.10126582278481
23,24,4191,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN INVESTIGACIÓN E INNOVACIÓN EDUCATIVA,Otros,,6,Ciencias Sociales,186,51,CIENCIAS DE LA EDUCACIÓN,43.83561643835616
24,25,7297,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN INVESTIGACIÓN Y EDUCACIÓN PARA LA SALUD,Ciencias Sociales,Educación,6,Ciencias Sociales,196,500,MEDIOS DE COMUNICACIÓN Y COMUNICACIONES,48.35164835164834
25,26,3404,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN LITERATURA HISPANOAMERICANA,Humanidades,Literatura,9,Interdisciplinaria,240,49,A5 - LENGUA Y LITERATURA,50.0
25,26,3404,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN LITERATURA HISPANOAMERICANA,Humanidades,Literatura,9,Interdisciplinaria,240,49,A5 - LENGUA Y LITERATURA,50.0
25,26,3404,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN LITERATURA HISPANOAMERICANA,Humanidades,Literatura,9,Interdisciplinaria,240,49,A5 - LENGUA Y LITERATURA,50.0
26,27,2808,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN PROCESOS TERRITORIALES,Otros,,1,Físico-Matemáticas y Ciencias de la Tierra,138,12,CIENCIAS DE LA TIERRA Y DEL ESPACIO,42.85714285714286
27,28,1514,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN SOCIOLOGÍA,Ciencias Sociales,Sociología,9,Interdisciplinaria,252,58,A6 - SOCIOLOGÍA,63.1578947368421
27,28,1514,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN SOCIOLOGÍA,Ciencias Sociales,Sociología,9,Interdisciplinaria,252,58,A6 - SOCIOLOGÍA,63.1578947368421
28,29,6190,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO INTERINSTITUCIONAL EN ECONOMÍA SOCIAL SOLIDARIA,Ciencias Sociales,Social,9,Interdisciplinaria,245,51,A6 - CIENCIAS DE LA EDUCACIÓN,39.53488372093024
28,29,6190,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO INTERINSTITUCIONAL EN ECONOMÍA SOCIAL SOLIDARIA,Ciencias Sociales,Social,9,Interdisciplinaria,245,51,A6 - CIENCIAS DE LA EDUCACIÓN,39.53488372093024
29,30,6275,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,ESPECIALIDAD DE ENFERMERÍA,Salud,Enfermería,9,Interdisciplinaria,227,34,A3 - ESPECIALIDAD MÉDICA,60.0
30,31,5897,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,ESPECIALIDAD EN ANTROPOLOGÍA DE LA ALIMENTACIÓN,Ciencias Sociales,Antropología,1,Físico-Matemáticas y Ciencias de la Tierra,138,12,CIENCIAS DE LA TIERRA Y DEL ESPACIO,51.21951219512195
31,32,7248,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,ESPECIALIDAD EN COMUNICACIÓN DE LA CIENCIA,Ciencias Sociales,Comunicación,6,Ciencias Sociales,196,500,MEDIOS DE COMUNICACIÓN Y COMUNICACIONES,59.25925925925925
32,33,7095,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,"ESPECIALIDAD EN ESTUDIOS DE GÉNERO, MASCULINIDADES Y DIVERSIDAD",Otros,,1,Físico-Matemáticas y Ciencias de la Tierra,138,12,CIENCIAS DE LA TIERRA Y DEL ESPACIO,46.93877551020408
33,34,6777,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN ACTIVIDAD FÍSICA Y DEPORTE PARA EL BIENESTAR HUMANO,Ciencias Naturales,Física,1,Físico-Matemáticas y Ciencias de la Tierra,138,12,CIENCIAS DE LA TIERRA Y DEL ESPACIO,48.97959183673469
34,35,3900,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN ANTROPOLOGÍA SOCIAL,Ciencias Sociales,Social,5,Humanidades,171,40,ANTROPOLOGÍA,55.81395348837209
34,35,3900,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN ANTROPOLOGÍA SOCIAL,Ciencias Sociales,Social,5,Humanidades,171,40,ANTROPOLOGÍA,55.81395348837209
34,35,3900,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN ANTROPOLOGÍA SOCIAL,Ciencias Sociales,Social,5,Humanidades,171,40,ANTROPOLOGÍA,55.81395348837209
34,35,3900,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN ANTROPOLOGÍA SOCIAL,Ciencias Sociales,Social,5,Humanidades,171,40,ANTROPOLOGÍA,55.81395348837209
34,35,3900,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN ANTROPOLOGÍA SOCIAL,Ciencias Sociales,Social,5,Humanidades,171,40,ANTROPOLOGÍA,55.81395348837209
34,35,3900,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN ANTROPOLOGÍA SOCIAL,Ciencias Sociales,Social,5,Humanidades,171,40,ANTROPOLOGÍA,55.81395348837209
34,35,3900,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN ANTROPOLOGÍA SOCIAL,Ciencias Sociales,Social,5,Humanidades,171,40,ANTROPOLOGÍA,55.81395348837209
34,35,3900,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN ANTROPOLOGÍA SOCIAL,Ciencias Sociales,Social,5,Humanidades,171,40,ANTROPOLOGÍA,55.81395348837209
34,35,3900,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN ANTROPOLOGÍA SOCIAL,Ciencias Sociales,Social,5,Humanidades,171,40,ANTROPOLOGÍA,55.81395348837209
34,35,3900,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN ANTROPOLOGÍA SOCIAL,Ciencias Sociales,Social,5,Humanidades,171,40,ANTROPOLOGÍA,55.81395348837209
35,36,3763,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN ANTROPOLOGÍA SOCIOCULTURAL,Ciencias Sociales,Antropología,5,Humanidades,171,40,ANTROPOLOGÍA,48.0
36,37,7177,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,Ingeniería y Tecnología,Tecnolog,5,Humanidades,172,41,CIENCIAS DE LAS ARTES Y LAS LETRAS,60.24096385542168
37,38,3448,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS AMBIENTALES,Ciencias Naturales,Ciencias,2,Biología y Química,149,25,CIENCIAS AMBIENTALES,76.92307692307692
37,38,3448,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS AMBIENTALES,Ciencias Naturales,Ciencias,2,Biología y Química,149,25,CIENCIAS AMBIENTALES,76.92307692307692
37,38,3448,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS AMBIENTALES,Ciencias Naturales,Ciencias,2,Biología y Química,149,25,CIENCIAS AMBIENTALES,76.92307692307692
37,38,3448,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS AMBIENTALES,Ciencias Naturales,Ciencias,2,Biología y Química,149,25,CIENCIAS AMBIENTALES,76.92307692307692
37,38,3448,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS AMBIENTALES,Ciencias Naturales,Ciencias,2,Biología y Química,149,25,CIENCIAS AMBIENTALES,76.92307692307692
37,38,3448,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS AMBIENTALES,Ciencias Naturales,Ciencias,2,Biología y Química,149,25,CIENCIAS AMBIENTALES,76.92307692307692
37,38,3448,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS AMBIENTALES,Ciencias Naturales,Ciencias,2,Biología y Química,149,25,CIENCIAS AMBIENTALES,76.92307692307692
37,38,3448,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS AMBIENTALES,Ciencias Naturales,Ciencias,2,Biología y Química,149,25,CIENCIAS AMBIENTALES,76.92307692307692
38,39,5671,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS BIOLÓGICAS,Ciencias Naturales,Ciencias,2,Biología y Química,146,22,CIENCIAS BIOMÉDICAS,64.0
38,39,5671,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS BIOLÓGICAS,Ciencias Naturales,Ciencias,2,Biología y Química,146,22,CIENCIAS BIOMÉDICAS,64.0
38,39,5671,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS BIOLÓGICAS,Ciencias Naturales,Ciencias,2,Biología y Química,146,22,CIENCIAS BIOMÉDICAS,64.0
38,39,5671,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS BIOLÓGICAS,Ciencias Naturales,Ciencias,2,Biología y Química,146,22,CIENCIAS BIOMÉDICAS,64.0
38,39,5671,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS BIOLÓGICAS,Ciencias Naturales,Ciencias,2,Biología y Química,146,22,CIENCIAS BIOMÉDICAS,64.0
39,40,7235,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS DE GOBIERNO Y DESARROLLO SOSTENIBLE,Ciencias Naturales,Ciencias,1,Físico-Matemáticas y Ciencias de la Tierra,138,12,CIENCIAS DE LA TIERRA Y DEL ESPACIO,59.34065934065934
40,41,1636,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS DE LA COMPUTACIÓN,Ciencias Naturales,Ciencias,1,Físico-Matemáticas y Ciencias de la Tierra,143,17,CIENCIAS DEL MAR,59.25925925925925
40,41,1636,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS DE LA COMPUTACIÓN,Ciencias Naturales,Ciencias,1,Físico-Matemáticas y Ciencias de la Tierra,143,17,CIENCIAS DEL MAR,59.25925925925925
40,41,1636,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS DE LA COMPUTACIÓN,Ciencias Naturales,Ciencias,1,Físico-Matemáticas y Ciencias de la Tierra,143,17,CIENCIAS DEL MAR,59.25925925925925
40,41,1636,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS DE LA COMPUTACIÓN,Ciencias Naturales,Ciencias,1,Físico-Matemáticas y Ciencias de la Tierra,143,17,CIENCIAS DEL MAR,59.25925925925925
40,41,1636,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS DE LA COMPUTACIÓN,Ciencias Naturales,Ciencias,1,Físico-Matemáticas y Ciencias de la Tierra,143,17,CIENCIAS DEL MAR,59.25925925925925
40,41,1636,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS DE LA COMPUTACIÓN,Ciencias Naturales,Ciencias,1,Físico-Matemáticas y Ciencias de la Tierra,143,17,CIENCIAS DEL MAR,59.25925925925925
40,41,1636,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS DE LA COMPUTACIÓN,Ciencias Naturales,Ciencias,1,Físico-Matemáticas y Ciencias de la Tierra,143,17,CIENCIAS DEL MAR,59.25925925925925
40,41,1636,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS DE LA COMPUTACIÓN,Ciencias Naturales,Ciencias,1,Físico-Matemáticas y Ciencias de la Tierra,143,17,CIENCIAS DEL MAR,59.25925925925925
40,41,1636,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS DE LA COMPUTACIÓN,Ciencias Naturales,Ciencias,1,Físico-Matemáticas y Ciencias de la Tierra,143,17,CIENCIAS DEL MAR,59.25925925925925
