,No,CVE,ENTIDAD,INSTITUCION,PROGRAMA
137,138,3649,GUANAJUATO,"CENTRO DE INVESTIGACION Y DE ESTUDIOS 
AVANZADOS DEL INSTITUTO POLITÉCNICO 
NACIONAL.",DOCTORADO EN CIENCIAS EN BIOLOGÍA INTEGRATIVA
138,139,1918,CIUDAD DE MÉXICO,"CENTRO DE INVESTIGACION Y DE ESTUDIOS 
AVANZADOS DEL INSTITUTO POLITÉCNICO 
NACIONAL.",DOCTORADO EN CIENCIAS EN BIOMEDICINA MOLECULAR
139,140,1579,CIUDAD DE MÉXICO,"CENTRO DE INVESTIGACION Y DE ESTUDIOS 
AVANZADOS DEL INSTITUTO POLITÉCNICO 
NACIONAL.",DOCTORADO EN CIENCIAS EN BIOQUÍMICA
140,141,199,GUANAJUATO,"CENTRO DE INVESTIGACION Y DE ESTUDIOS 
AVANZADOS DEL INSTITUTO POLITÉCNICO 
NACIONAL.",DOCTORADO EN CIENCIAS EN BIOTECNOLOGÍA DE LAS PLANTAS
141,142,1992,CIUDAD DE MÉXICO,"CENTRO DE INVESTIGACION Y DE ESTUDIOS 
AVANZADOS DEL INSTITUTO POLITÉCNICO 
NACIONAL.",DOCTORADO EN CIENCIAS EN COMPUTACIÓN
142,143,1075,CIUDAD DE MÉXICO,"CENTRO DE INVESTIGACION Y DE ESTUDIOS 
AVANZADOS DEL INSTITUTO POLITÉCNICO 
NACIONAL.",DOCTORADO EN CIENCIAS EN CONTROL AUTOMÁTICO
143,144,5799,YUCATÁN,"CENTRO DE INVESTIGACION Y DE ESTUDIOS 
AVANZADOS DEL INSTITUTO POLITÉCNICO 
NACIONAL.",DOCTORADO EN CIENCIAS EN ECOLOGÍA HUMANA
144,145,332,CIUDAD DE MÉXICO,"CENTRO DE INVESTIGACION Y DE ESTUDIOS 
AVANZADOS DEL INSTITUTO POLITÉCNICO 
NACIONAL.",DOCTORADO EN CIENCIAS EN FARMACOLOGÍA
145,146,1931,CIUDAD DE MÉXICO,"CENTRO DE INVESTIGACION Y DE ESTUDIOS 
AVANZADOS DEL INSTITUTO POLITÉCNICO 
NACIONAL.",DOCTORADO EN CIENCIAS EN INFECTÓMICA Y PATOGÉNESIS MOLECULAR
146,147,1563,JALISCO,"CENTRO DE INVESTIGACION Y DE ESTUDIOS 
AVANZADOS DEL INSTITUTO POLITÉCNICO 
NACIONAL.",DOCTORADO EN CIENCIAS EN INGENIERÍA ELÉCTRICA
147,148,329,CIUDAD DE MÉXICO,"CENTRO DE INVESTIGACION Y DE ESTUDIOS 
AVANZADOS DEL INSTITUTO POLITÉCNICO 
NACIONAL.",DOCTORADO EN CIENCIAS EN INGENIERÍA ELÉCTRICA
148,149,1913,COAHUILA,"CENTRO DE INVESTIGACION Y DE ESTUDIOS 
AVANZADOS DEL INSTITUTO POLITÉCNICO 
NACIONAL.",DOCTORADO EN CIENCIAS EN INGENIERÍA METALÚRGICA Y CERÁMICA
149,150,2916,NUEVO LEÓN,"CENTRO DE INVESTIGACION Y DE ESTUDIOS 
AVANZADOS DEL INSTITUTO POLITÉCNICO 
NACIONAL.",DOCTORADO EN CIENCIAS EN INGENIERÍA Y FÍSICA BIOMÉDICAS
