,No,CVE,ENTIDAD,INSTITUCION,PROGRAMA
39,40,7235,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS DE GOBIERNO Y DESARROLLO SOSTENIBLE
40,41,1636,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS DE LA COMPUTACIÓN
41,42,1817,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS DE LA ELECTRÓNICA
42,43,798,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS DEL LENGUAJE
43,44,7326,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS EN ENERGÍAS RENOVABLES
44,45,6473,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS EN RECURSOS FITOGENÉTICOS POTENCIALES PARA LA AGRICULTURA
45,46,82,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS FISIOLÓGICAS
46,47,1428,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS MÉDICAS E INVESTIGACIÓN
47,48,845,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS POLÍTICAS
48,49,535,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS QUÍMICAS
49,50,786,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS. MICROBIOLOGÍA
50,51,95,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS: EN LA ESPECIALIDAD DE CIENCIA DE MATERIALES
51,52,93,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS: FÍSICA
52,53,414,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS: FÍSICA APLICADA
53,54,410,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN CIENCIAS: MATEMÁTICAS
54,55,1325,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN DERECHO
55,56,1391,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN DESARROLLO ECONÓMICO Y COOPERACIÓN INTERNACIONAL
56,57,1877,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN DISPOSITIVOS SEMICONDUCTORES
57,58,4131,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN EDUCACIÓN MATEMÁTICA
58,59,990,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN ENFERMERÍA
59,60,1220,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN ENSEÑANZA DEL INGLÉS
60,61,6453,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,"MAESTRÍA EN ESTUDIOS SOCIALES: TRABAJO, REGULACIÓN LABORAL Y ORGANIZACIÓN"
61,62,1648,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN FILOSOFÍA
62,63,7233,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN GÉNERO Y ESTUDIOS FEMINISTAS
63,64,1627,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN HISTORIA
64,65,2499,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN INGENIERÍA ELECTRÓNICA
65,66,1036,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN INGENIERÍA QUÍMICA
66,67,7299,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN INNOVACIÓN EN LA ENSEÑANZA DE LENGUAS
67,68,1706,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN LITERATURA HISPANOAMERICANA
68,69,3461,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN MANEJO SOSTENIBLE DE AGROECOSISTEMAS
69,70,5022,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN ORDENAMIENTO DEL TERRITORIO
70,71,7433,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN PRODUCCIÓN ANIMAL SOSTENIBLE
71,72,5123,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MAESTRÍA EN RELACIONES INTERNACIONALES Y DERECHOS HUMANOS
